id_blob,id_person,id_website,id_question,spray_number,lat,lng,time_blob,zoom
33917248,119202,1448,23278,1,43.98954391479492,-123.06034851074219,1762714647210,12
33917247,119202,1448,23278,1,43.99116134643555,-123.05779266357422,1762714647235,12
33917246,119202,1448,23278,1,43.989810943603516,-123.06255340576172,1762714647197,12
33917245,119202,1448,23278,1,43.98845672607422,-123.06962585449219,1762714647185,12
33917244,119202,1448,23278,1,43.988304138183594,-123.0702896118164,1762714647172,12
33917243,119202,1448,23278,1,43.98684310913086,-123.07366943359375,1762714647160,12
33917242,119202,1448,23278,1,43.988712310791016,-123.07462310791016,1762714647148,12
33917241,119202,1448,23278,1,43.989192962646484,-123.07920837402344,1762714647135,12
33917240,119202,1448,23278,1,43.98735427856445,-123.07997131347656,1762714647123,12
33917239,119202,1448,23278,1,43.988677978515625,-123.08145904541016,1762714647110,12
33917238,119202,1448,23278,1,43.986507415771484,-123.08409881591797,1762714647086,12
33917237,119202,1448,23278,1,43.9879035949707,-123.08179473876953,1762714647098,12
33917236,119202,1448,23278,1,43.98872756958008,-123.08943939208984,1762714647061,12
33917235,119202,1448,23278,1,43.990928649902344,-123.0853271484375,1762714647073,12
33917234,119202,1448,23278,1,43.98664093017578,-123.0887451171875,1762714647049,12
33917233,119202,1448,23278,1,43.98699188232422,-123.09033966064453,1762714647037,12
33917232,119202,1448,23278,1,43.99041748046875,-123.09776306152344,1762714647024,12
33917231,119202,1448,23278,1,43.98933410644531,-123.09370422363281,1762714647012,12
33917230,119202,1448,23278,1,43.990482330322266,-123.09998321533203,1762714647000,12
33917229,119202,1448,23278,1,43.99058151245117,-123.10234069824219,1762714646987,12
33917228,119202,1448,23278,1,43.990516662597656,-123.10487365722656,1762714646975,12
33917227,119202,1448,23278,1,43.99020767211914,-123.10687255859375,1762714646963,12
33917226,119202,1448,23278,1,43.992794036865234,-123.1080093383789,1762714646950,12
33917225,119202,1448,23278,1,43.995361328125,-123.1115951538086,1762714646938,12
33917224,119202,1448,23278,1,43.99422073364258,-123.11495971679688,1762714646926,12
33917223,119202,1448,23278,1,43.99561309814453,-123.11518096923828,1762714646914,12
33917222,119202,1448,23278,1,43.99482345581055,-123.12213134765625,1762714646901,12
33917221,119202,1448,23278,1,43.997493743896484,-123.12247467041016,1762714646889,12
33917220,119202,1448,23278,1,43.99845886230469,-123.12515258789062,1762714646877,12
33917219,119202,1448,23278,1,44.000431060791016,-123.12561798095703,1762714646865,12
33917218,119202,1448,23278,1,43.99943161010742,-123.12923431396484,1762714646840,12
33917217,119202,1448,23278,1,43.998844146728516,-123.12583923339844,1762714646852,12
33917216,119202,1448,23278,1,43.99956130981445,-123.13526153564453,1762714646828,12
33917215,119202,1448,23278,1,44.005069732666016,-123.1385498046875,1762714646803,12
33917214,119202,1448,23278,1,44.00314712524414,-123.13602447509766,1762714646816,12
33917213,119202,1448,23278,1,44.0101318359375,-123.14700317382812,1762714646779,12
33917212,119202,1448,23278,1,44.01029586791992,-123.14946746826172,1762714646766,12
33917211,119202,1448,23278,1,44.00676345825195,-123.14491271972656,1762714646791,12
33917210,119202,1448,23278,1,44.01268768310547,-123.1526107788086,1762714646754,12
33917209,119202,1448,23278,1,44.01395034790039,-123.15447998046875,1762714646741,12
33917208,119202,1448,23278,1,44.0138053894043,-123.1551284790039,1762714646729,12
33917207,119202,1448,23278,1,44.0220832824707,-123.16522216796875,1762714646705,12
33917206,119202,1448,23278,1,44.019161224365234,-123.1600341796875,1762714646717,12
33917205,119202,1448,23278,1,44.02251052856445,-123.1707763671875,1762714646679,12
33917204,119202,1448,23278,1,44.02406692504883,-123.16853332519531,1762714646692,12
33917203,119202,1448,23278,1,44.02713394165039,-123.17161560058594,1762714646667,12
33917202,119202,1448,23278,1,44.03508377075195,-123.18116760253906,1762714646642,12
33917201,119202,1448,23278,1,44.030677795410156,-123.17619323730469,1762714646655,12
33917200,119202,1448,23278,1,44.036293029785156,-123.17826843261719,1762714646630,12
33917199,119202,1448,23278,1,44.040199279785156,-123.18517303466797,1762714646617,12
33917198,119202,1448,23278,1,44.04478454589844,-123.1849136352539,1762714646605,12
33917197,119202,1448,23278,1,44.049346923828125,-123.18724822998047,1762714646593,12
33917196,119202,1448,23278,1,44.05447769165039,-123.19352722167969,1762714646568,12
33917195,119202,1448,23278,1,44.04941177368164,-123.18920135498047,1762714646581,12
33917194,119202,1448,23278,1,44.05473709106445,-123.19612121582031,1762714646543,12
33917193,119202,1448,23278,1,44.05885314941406,-123.19417572021484,1762714646529,12
33917192,119202,1448,23278,1,44.053855895996094,-123.19229125976562,1762714646556,12
33917191,119202,1448,23278,1,44.060176849365234,-123.194580078125,1762714646517,12
33917190,119202,1448,23278,1,44.06426239013672,-123.19392395019531,1762714646480,12
33917189,119202,1448,23278,1,44.06354522705078,-123.19453430175781,1762714646493,12
33917188,119202,1448,23278,1,44.06102752685547,-123.1938705444336,1762714646505,12
33917187,119202,1448,23278,1,44.06486511230469,-123.19638061523438,1762714646467,12
33917186,119202,1448,23278,1,44.06707763671875,-123.1963119506836,1762714646455,12
33917185,119202,1448,23278,1,44.07042694091797,-123.19519805908203,1762714646442,12
33917184,119202,1448,23278,1,44.07057189941406,-123.19287109375,1762714646430,12
33917183,119202,1448,23278,1,44.07307434082031,-123.19752502441406,1762714646418,12
33917182,119202,1448,23278,1,44.07427978515625,-123.19163513183594,1762714646406,12
33917181,119202,1448,23278,1,44.07688522338867,-123.193603515625,1762714646393,12
33917180,119202,1448,23278,1,44.074424743652344,-123.19029998779297,1762714646381,12
33917179,119202,1448,23278,1,44.076515197753906,-123.19425964355469,1762714646369,12
33917178,119202,1448,23278,1,44.08027648925781,-123.19153594970703,1762714646332,12
33917177,119202,1448,23278,1,44.08014678955078,-123.18855285644531,1762714646344,12
33917176,119202,1448,23278,1,44.0782585144043,-123.18890380859375,1762714646356,12
